task,description
RSVPLanguage,"The Rapid-Serial-Visual-Presentation (RSVP) Language task was adapted from the study undertaken by [Humphries et al., 2006](10.1162/jocn.2006.18.4.665) on syntactic and semantic processing during auditory sentence comprehension. Specifically, the task herein described targeted the same syntactic and semantic modules, but in the context of reading. It thus allowed for capturing further associations with regard to e.g. visual (pseudo) word recognition and sublexical route, among other aspects related to active reading.
The paradigm consisted in a block-design presentation strategy of the stimuli. One block was defined as an epoch within a trial and epochs corresponded in turn to experimental conditions. Such conditions stood for the consecutive visual presentation of ten constituents composed by letters.
All linguistic content elicited from the conditions except “consonant strings”, such as grammar rules, lexicon and phonemes, were part of the french language. In order to ensure continuous engagement during task performance, participants were asked, straight afterwards the visualization of every sentence, to ascertain whether the current constituent displayed on the screen, aka “the probe”, was part of the previous sentence or not. The corresponding answer was provided immediately after the probe, by pressing the button in the left hand if “yes” or the one in the right hand if “no”.
Data were collected in six runs during one single session. Every run was composed by sixty trials, in which subsets of ten trials were dedicated to each condition, respectively. The order of the trials was pseudo-randomized within and between runs, such that there were no repeated trials during a full session. Moreover, a different pseudo-randomized order for the presentation of the trials was always employed across participants. One trial comprised several experimental manipulations, other than a block integrating one specific condition. It was sequentially formed by a period of fixation-cross display (two seconds), another short period of a blank screen (0.5 seconds), a block containing the linguistic stimuli (0.4 seconds × 10 = 4 seconds), a jittered blank screen (varying from one to 1.5 seconds), a period of a second fixation-cross display (0.5 seconds), a period for the probe display (0.5 seconds), and, finally, a response period (varying up to two seconds). The total duration of one single trial was thus ten seconds. Three extra seconds of blank screen were added at the beginning of every run, i.e. before the presentation of the first trial.
Two opposite phase-encoding directions were respectively applied during acquisition of each half of the total amount of runs."
MTTWE,
MTTNS,
PreferenceFood,
PreferencePaintings,
PreferenceFaces,
PreferenceHouses,
TheoryOfMind,
EmotionalPain,
PainMovie,
VSTM,
Enumeration,
Self,
Bang,
Wedge,
Ring,
Lec2,
Audi,
Visu,
Lec1,
MVEB,
MVIS,
Moto,
MCSE,
Audio,
Attention,
StopSignal,
TwoByTwo,
Discount,
SelectiveStopSignal,
Stroop,
ColumbiaCards,
DotPatterns,
WardAndAllport,
BiologicalMotion1,
BiologicalMotion2,
MathLanguage,
SpatialNavigation,
EmoMem,
EmoReco,
StopNogo,
Catell,
FingerTapping,
VSTMC,
